holder_concentration,liquidity_lock_ratio,creator_tx_pattern,buy_sell_ratio,contract_similarity_score,fund_flow_pattern,price_change_24h,liquidity_usd,volume_24h,total_jobs,completion_rate,trust_score,age_days,lp_drain_rate,deployer_age_days,token_supply_concentration,renounced_ownership,verified_contract,social_presence_score,audit_score,label
0.0,0.0,1.0,0.42566343386266137,0.12526629147866908,0.424872668,1.0,0.00119760479,0.8937750994038024,0.0,0.5,0.5558357978710037,0.074893675,1.0,0.8747337085213309,0.17665680851598517,0,0,0.3,0.0,0
0.0,0.0,1.0,0.6940874036493492,0.12526629147866908,0.557920194,1.0,0.00332225914,0.6747056994924908,0.0,0.5,0.5999999963932624,0.050907451,1.0,0.8747337085213309,1.4426950336754884e-08,0,0,0.3,0.0,0
0.0,0.064726248,1.0,0.46464261913840915,0.12526629147866908,0.288973384,1.0,0.0037735849100000002,0.9605603564129488,0.0,0.5,0.6258904992,0.384408998,1.0,0.8747337085213309,0.0,0,0,0.3,0.0,0
1.48e-08,0.693920988,1.0,0.5159108378144529,0.12526629147866908,0.107204361,1.0,0.004672897200000001,0.8447052206028973,0.0,0.5,0.87756839002,0.077704431,1.0,0.8747337085213309,0.0,0,0,0.3,0.0,0
0.0,0.790201641,1.0,0.5330091768401303,0.12526629147866908,0.104640464,1.0,0.0047619047599999995,0.9725369377362925,0.0,0.5,0.9160806527932625,0.206316358,1.0,0.8747337085213309,1.4426950336754884e-08,0,0,0.3,0.0,0
0.0,3.49e-06,1.0,0.47246287122185643,0.12526629147866908,0.334323155,1.0,0.00480769231,0.9278189377067171,0.0,0.5,0.6000013253079499,0.274478575,1.0,0.8747337085213309,2.8276820030295416e-07,0,0,0.3,0.0,0
0.247900919,1.08e-12,0.9912246634842823,0.4345353339690329,0.12526629147866908,0.144827584,1.0,0.00495049505,0.8401022129364563,0.0,0.5,0.513234678350432,0.194190522,1.0,0.8747337085213309,0.0,0,0,0.3,0.0,0
0.104807695,0.0,1.0,0.493771234405701,0.12526629147866908,0.402210884,1.0,0.00595238095,0.6543162169022891,0.0,0.5,0.5478098424001346,0.361322515,1.0,0.8747337085213309,0.0620298573994613,0,0,0.3,0.0,0
0.001008743,1.53e-07,1.0,0.4808526011910525,0.12526629147866908,0.462022431,1.0,0.00598802395,0.9714048177871847,0.0,0.5,0.5996469528197194,0.16721689,1.0,0.8747337085213309,1.933211225266062e-07,0,0,0.3,0.0,0
0.520423911,0.219280741,1.0,0.5728144514851348,0.12526629147866908,0.21054783100000002,1.0,0.00609756098,0.8506878624358198,0.0,0.5,0.48169580377213883,0.098011197,1.0,0.8747337085213309,0.09547249511144461,0,0,0.3,0.0,0
0.0,0.0,1.0,0.5500696486378821,0.12526629147866908,0.208694437,1.0,0.00675675676,0.7777120093970463,0.0,0.5,0.6,0.37273821,1.0,0.8747337085213309,0.0,0,0,0.3,0.0,0
0.0,0.046495459,0.9917305450885319,0.5297941494646476,0.12526629147866908,0.542013193,1.0,0.007042253520000001,0.6562598521457711,0.0,0.5,0.6184583655852056,0.178608609,1.0,0.8747337085213309,0.0005592720591775833,0,0,0.3,0.0,0
0.0,0.800302922,1.0,0.5004873725987256,0.12526629147866908,0.097106384,1.0,0.00757575758,0.9550767155281894,0.0,0.5,0.8134896860339824,0.248229945,1.0,0.8747337085213309,0.42652593106407016,0,0,0.3,0.0,0
0.0,0.488845205,1.0,0.4662576687062093,0.12526629147866908,0.39921068800000004,1.0,0.00787401575,0.8228742855698915,0.0,0.5,0.795538082,0.119027273,1.0,0.8747337085213309,0.0,0,0,0.3,0.0,0
0.0,0.0,1.0,0.39183517740367374,0.12526629147866908,0.518803674,1.0,0.008130081300000001,0.8083337297251328,0.0,0.5,0.5999952391377866,0.15245626,1.0,0.8747337085213309,1.9043448853248396e-05,0,0,0.3,0.0,0
0.03915383,2.09e-12,1.0,0.5472833955800728,0.19854237459809665,0.171763541,1.0,0.00833333333,0.9451729774286672,0.0,0.5,0.586296159500836,0.439116558,1.0,0.8014576254019034,0.0,0,0,0.3,0.0,0
